,text_id
0,5068377
1,1597194
2,6295736
3,6993046
4,5788279
5,1726484
6,4967492
7,2551007
8,1333604
9,8865416
10,6850976
11,1313640
12,7902603
13,1761288
14,4015657
15,5199285
16,8486230
17,5603710
18,1505092
19,4482856
20,3877248
21,3132646
22,1474142
23,1190794
24,5540366
25,9793629
26,6730339
27,8479778
28,9244728
29,6890392
30,8705239
31,3051030
32,9528839
33,8424654
34,9300257
35,4111943
36,6381754
37,9329144
38,6687154
39,4859264
40,5310485
41,4114886
42,8952064
43,7690782
44,2404270
45,1251600
46,8925028
47,7429540
48,4179300
49,3447986
50,3981939
51,7355696
52,2313045
53,5662041
54,4337843
55,9234427
56,4084975
57,4945246
58,7379935
59,1570488
60,6155663
61,1869016
62,9833317
63,5394752
64,1203590
65,3084142
66,4164580
67,5588748
68,5033136
69,1050413
70,8121022
71,4899536
72,1522623
73,3378050
74,4145514
75,1083787
76,5215195
77,9063915
78,9137204
79,9978851
80,6424178
81,1646250
82,3657678
83,7430329
84,8848423
85,3327548
86,2739235
87,2418994
88,3249258
89,2620267
90,7947642
91,1942396
92,7800989
93,2279507
94,2622433
95,8402434
96,9115812
97,8684447
98,3733815
99,3856543
100,2245049
101,7196232
102,1488854
103,2551504
104,7625561
105,7313656
106,2612980
107,7371547
108,5193760
109,7480549
110,5482923
111,3158393
112,2582941
113,6579855
114,6108686
115,4368863
116,3948763
117,4641368
118,9326706
119,7469272
120,6510643
121,8323241
122,5026234
123,3850678
124,5107070
125,9562774
126,5117320
127,2599166
128,9115003
129,3104265
130,1627594
131,3575696
132,7272268
133,9726850
134,3805407
135,8814014
136,1579313
137,5265631
138,8542363
139,4787627
140,7045528
141,3083116
142,3317322
143,3273170
144,9996084
145,6927822
146,4141747
147,6532226
148,8909854
149,4473430
150,7531087
151,4338518
152,3762645
153,2007660
154,6063144
155,1883775
156,9878358
157,1994828
158,2816368
159,8998289
160,3120051
161,6812840
162,9963288
163,5013527
164,5160047
165,4103700
166,8087812
167,2491856
168,9646771
169,7198755
170,2232858
171,9321858
172,6507166
173,9511354
174,8551426
175,3292580
176,7027919
177,4608520
178,7647474
179,9529553
180,9743876
181,3220855
182,6694776
183,9071877
184,8853261
185,8418840
186,4147466
187,8315185
188,2750933
189,7353490
190,4976530
191,4972689
192,1894685
193,7982890
194,8666657
195,1407699
196,2704689
197,9023961
198,4952514
199,8446262
200,6516673
201,7558865
202,2522338
203,5379639
204,6030204
205,2016485
206,9884507
207,4815516
208,8755283
209,6273263
210,1448949
211,3164463
212,9937414
213,2843591
214,5924733
215,7262334
216,5668707
217,7433591
218,9112338
219,5118107
220,5224335
221,7962633
222,3450789
223,2585237
224,1314299
225,4813424
226,9214883
227,5478670
228,5743244
229,7222957
230,1551661
231,2590176
232,4271787
233,4182188
234,4979848
235,7402210
236,9482349
237,1728018
238,4843680
239,7043615
240,6772835
241,6490186
242,1330268
243,1490767
244,5000157
245,8005789
246,7392962
247,5408473
248,8897043
249,1517379
250,8279775
251,5703445
252,3627745
253,6085483
254,3880204
255,5924692
256,9384258
257,6501086
258,9556590
259,1698113
260,7713827
261,1751547
262,4310879
263,1717864
264,3989365
265,9766296
266,2072607
267,3656364
268,7734440
269,3053078
270,3994270
271,7504855
272,4035688
273,3237155
274,5376865
275,6712749
276,9224902
277,9116967
278,7909631
279,1373018
280,8682724
281,6512312
282,5571742
283,9802455
284,9083783
285,1322251
286,5741008
287,6109118
288,3340419
289,7141055
290,1574835
291,9349081
292,8353632
293,8482954
294,4209287
295,2145165
296,1303286
297,6725580
298,5278532
299,6165087
300,5046676
301,7199735
302,6613608
303,4344223
304,1920718
305,4680158
306,7915843
307,5229676
308,6034386
309,5746136
310,2768053
311,9853341
312,8859758
313,6784474
314,2705071
315,1211883
316,5619071
317,9194737
318,5085303
319,1836371
320,9748136
321,4830266
322,6420887
323,7043090
324,7517580
325,2055720
326,2827742
327,7700044
328,4141045
329,1764194
330,4011818
331,6544568
332,8703478
333,7772912
334,6594347
335,7734508
336,5757897
337,7015066
338,6795690
339,6978973
340,1826134
341,4038783
342,8847841
343,5320204
344,3094559
345,9127923
346,7503086
347,4255536
348,3085238
349,9340048
350,1362547
351,4271471
352,1271391
353,5853336
354,8490902
355,7761483
356,6063000
357,3179538
358,1757474
359,2468613
360,8160495
361,5858471
362,8596200
363,5922938
364,1706743
365,9202692
366,9785765
367,4033930
368,4417303
369,6149409
370,7656247
371,3072074
372,9138092
373,6802508
374,2394118
375,8580096
376,3428346
377,8967215
378,8675887
379,4376372
380,4002871
381,7135126
382,4783159
383,8535407
384,9816656
385,5787109
386,5664428
387,4902650
388,8691120
389,9486520
390,5849639
391,3582679
392,1163193
393,9461407
394,8674808
395,4682589
396,7492342
397,4051484
398,9835391
399,7949584
400,1372876
401,5755231
402,2502632
403,7735789
404,6491057
405,3249456
406,8628406
407,3314316
408,9537476
409,5088285
410,4990837
411,7778822
412,2379055
413,7198838
414,9115851
415,9632957
416,1322417
417,9268630
418,8223491
419,7568247
420,4539220
421,1021615
422,7807816
423,6000494
424,3129710
425,3542650
426,3898368
427,1471460
428,6786040
429,3895720
430,5192307
431,6839485
432,9977837
433,1353241
434,1616371
435,9727697
436,7910781
437,1121544
438,2369020
439,8522625
440,5131997
441,3470127
442,1155699
443,5395465
444,5829437
445,9996177
446,9906323
447,7346810
448,8505422
449,6997653
450,7186726
451,5292075
452,2121316
453,5949099
454,5931900
455,3538683
456,9617311
457,2831727
458,7702497
459,2154710
460,5521509
461,7261974
462,7313000
463,8277976
464,2722389
465,5117528
466,4290196
467,3437202
468,1523058
469,8500220
470,7531614
471,4061228
472,5194513
473,7211716
474,9122350
475,7664958
476,2847118
477,3384100
478,7458399
479,3260853
480,4233432
481,1986457
482,4858403
483,5835684
484,1380796
485,3081370
486,5140601
487,9218262
488,3190061
489,4039670
490,3360565
491,4790816
492,8963059
493,5070862
494,7155854
495,2658769
496,7571784
497,9106903
498,1010734
499,8669212
500,7822600
501,6812816
502,7457262
503,8699342
504,6835356
505,6376700
506,8612444
507,4958370
508,4058895
509,3607479
510,2535188
511,3223734
512,4212467
513,2983195
514,3478093
515,1669843
516,7825903
517,2920117
518,7302573
519,5058978
520,5776029
521,3906207
522,6108540
523,7555563
524,8213911
525,3218034
526,6687882
527,7758662
528,9458550
529,1479552
530,8275769
531,1733852
532,2655171
533,7928283
534,8359690
535,6456828
536,1946777
537,9763880
538,3340606
539,1702478
540,7575790
541,2176811
542,1657168
543,2176790
544,2401939
545,9469139
546,4733551
547,6731532
548,1007680
549,4356460
550,9180225
551,3716085
552,1269962
553,6065607
554,4858213
555,4573661
556,2375272
557,7516300
558,6015910
559,7774403
560,3925884
561,9847931
562,4172068
563,6752908
564,4282868
565,9853377
566,5323605
567,1630492
568,1480433
569,4867964
570,7628692
571,7946882
572,5535144
573,7087250
574,5056891
575,7706534
576,6659098
577,3558122
578,6481734
579,6159892
580,4506587
581,5506572
582,5644633
583,4035775
584,9842296
585,2544566
586,3188086
587,3467058
588,6924204
589,1758768
590,2746531
591,9425482
592,5994093
593,3468364
594,6632346
595,2018829
596,6334384
597,6520769
598,7991093
599,3044448
600,6476873
601,9332951
602,2389984
603,1340538
604,2160105
605,6852081
606,8295173
607,2439453
608,6395953
609,4699528
610,1635524
611,7708674
612,6948105
613,2066319
614,1881077
615,8695247
616,9447515
617,5208352
618,7848385
619,4288041
620,3968263
621,1322207
622,4932623
623,7738314
624,2621959
625,4992488
626,4760770
627,7738586
628,1372146
629,7835912
630,3019763
631,2505265
632,6626958
633,1316145
634,6739793
635,2276481
636,2912525
637,2424690
638,5658610
639,6620596
640,8989225
641,7168635
642,6873908
643,6089811
644,8432403
645,1894503
646,6120448
647,6014558
648,1579561
649,3414364
650,5041520
651,9564538
652,4345982
653,6352973
654,6793132
655,5005805
656,2021188
657,8985617
658,1832046
659,4454315
660,6391821
661,2262322
662,5212416
663,6776454
664,8249058
665,5721550
666,3496118
667,7818396
668,4203998
669,3376853
670,1710413
671,5316202
672,6562826
673,3718664
674,8776505
675,7009449
676,8181938
677,8324930
678,8149258
679,9256128
680,2165749
681,9100737
682,6797530
683,4787351
684,3753578
685,4009471
686,1372052
687,5173730
688,4192827
689,7706274
690,7377609
691,5276884
692,3426691
693,4845783
694,5741391
695,2272714
696,7627841
697,8332605
698,6670392
699,7492561
700,5536226
701,6230273
702,9553741
703,9965161
704,4543540
705,6250874
706,1007787
707,9204868
708,3099485
709,8248415
710,9344643
711,2035291
712,8123977
713,7560768
714,9121910
715,5461140
716,9459037
717,1954997
718,8222953
719,4683653
720,5446667
721,3641937
722,5962448
723,5959892
724,1371672
725,5697754
726,9672082
727,2643029
728,5988495
729,9110413
730,8307803
731,2635829
732,3591783
733,5969269
734,7720921
735,4685983
736,2473438
737,9968673
738,3109066
739,7630659
740,3489150
741,2429042
742,5663516
743,1711081
744,8195072
745,7753159
746,6206683
747,8890289
748,8837950
749,9745603
750,3513966
751,2252181
752,3125438
753,6869495
754,8423937
755,1171858
756,8668736
757,4284260
758,7144299
759,9650108
760,9639926
761,9038148
762,1036977
763,6280308
764,1195592
765,2533748
766,4130326
767,6869816
768,8564471
769,3241320
770,1373175
771,3219885
772,5350743
773,6093961
774,6349803
775,1407733
776,9446878
777,5817064
778,3782196
779,3003446
780,2405541
781,4371748
782,8118280
783,7564539
784,7913432
785,7003465
786,1578195
787,5941821
788,3318837
789,9351620
790,9027740
791,8417681
792,2782699
793,9217224
794,3220078
795,3153226
796,9935191
797,1140108
798,1970120
799,2725306
800,7649838
801,4065153
802,1391598
803,7444585
804,5748028
805,7085072
806,4066833
807,1976361
808,1025088
809,9300261
810,5292392
811,8186305
812,2183433
813,8759777
814,4587877
815,6589106
816,2134778
817,4898034
818,1849098
819,3246181
820,9194885
821,1736851
822,4702067
823,5894543
824,4384944
825,4778462
826,9928301
827,9195722
828,2960757
829,2579158
830,7470609
831,9655215
832,1149915
833,6570391
834,5787768
835,9311313
836,2577322
837,6573289
838,6325792
839,8588189
840,4196768
841,7484485
842,5722540
843,8340656
844,1062672
845,3496830
846,6444662
847,4014373
848,8491499
849,3069515
850,9893697
851,5910889
852,7186055
853,1938123
854,7386559
855,7817560
856,5282181
857,2635181
858,7038504
859,1930941
860,1607045
861,4173154
862,2639412
863,5635337
864,2903734
865,9390953
866,2021973
867,2786951
868,1090528
869,4361719
870,9865521
871,6434356
872,5754873
873,5101300
874,5530728
875,9332582
876,2356932
877,9615161
878,8968357
879,8911818
880,4943632
881,2160714
882,2928862
883,4160747
884,8548090
885,1629201
886,5410739
887,3474873
888,6127645
889,2070370
890,9191794
891,7742258
892,6814580
893,9704354
894,5221677
895,2415609
896,5664730
897,8358211
898,7243081
899,3879229
900,3242628
901,4624800
902,5291779
903,7929576
904,7723574
905,5243947
906,6129753
907,7734580
908,5089410
909,3371487
910,5197744
911,2650800
912,9577770
913,5757762
914,1217167
915,5361201
916,7875811
917,6441739
918,6934710
919,9467838
920,2840397
921,2894458
922,6300612
923,6481370
924,4481726
925,7163606
926,9320290
927,4286992
928,8197123
929,6794653
930,6683977
931,9022297
932,5146191
933,9835373
934,6313345
935,3113910
936,7395645
937,9621241
938,7021260
939,4037495
940,4158014
941,2521927
942,9164707
943,8405339
944,1066982
945,7724324
946,4069468
947,4900461
948,3589222
949,7998176
950,5014763
951,2748223
952,8403829
953,5742128
954,2226279
955,8720731
956,9845473
957,4959007
958,5594582
959,1391923
960,7602917
961,1209688
962,8138984
963,7804064
964,1417905
965,2253940
966,8903354
967,6455194
968,4091666
969,5440349
970,1418778
971,7830557
972,1617931
973,6076003
974,1836865
975,1710083
976,7790659
977,6281601
978,7274839
979,1174094
980,2729086
981,6160375
982,3114466
983,1055659
984,4791458
985,1967860
986,1456201
987,3992628
988,3086427
989,9420246
990,6504055
991,7261356
992,9648342
993,6638039
994,4256671
995,3401430
996,3651087
997,2466843
998,2159111
999,1089382
1000,9031636
1001,4785195
1002,9714314
1003,8414317
1004,6761482
1005,9481898
1006,7269160
1007,1338419
1008,1008348
1009,2288969
1010,6293261
1011,4430991
1012,1488130
1013,2000869
1014,3162150
1015,2835398
1016,6923418
1017,4362554
1018,4680014
1019,4618426
1020,8800064
1021,4854640
1022,8386416
1023,2084267
1024,4947934
1025,3968013
1026,6534472
1027,7544391
1028,7340495
1029,9504677
1030,7652202
1031,8097758
1032,9896354
1033,7471520
1034,7077221
1035,4038343
1036,3049999
1037,1527778
1038,2599347
1039,1437622
1040,5816812
1041,8077767
1042,4480134
1043,9666181
1044,1133755
1045,4589563
1046,3085246
1047,8147247
1048,2976732
1049,2731358
1050,7852956
1051,9894661
1052,1682592
1053,1890873
1054,5802121
1055,2207411
1056,3109899
1057,2489143
1058,7973255
1059,6767383
1060,3062355
1061,6178286
1062,3737765
1063,4555629
1064,2516985
1065,9504683
1066,5651811
1067,1234441
1068,2421978
1069,4607030
1070,5967668
1071,7584340
1072,4589686
1073,6392055
1074,7567225
1075,9928731
1076,4032331
1077,8186684
1078,2748946
1079,9619758
1080,4321900
1081,1141360
1082,6706177
1083,4144440
1084,5121621
1085,1488643
1086,6984041
1087,4717293
1088,2670281
1089,7585910
1090,5441438
1091,4063287
1092,4326410
1093,9243702
1094,2938161
1095,1935154
1096,9683939
1097,9590919
1098,2755240
1099,8809200
1100,4148847
1101,1215108
1102,7122721
1103,9379960
1104,2208542
1105,6059207
1106,4788733
1107,9139912
1108,8160933
1109,4791715
1110,5432821
1111,6393708
1112,6200634
1113,7053820
1114,8770428
1115,6882052
1116,4349207
1117,6988601
1118,4620068
1119,3234635
1120,5261222
1121,8997136
1122,7395097
1123,6935825
1124,5414552
1125,4659612
1126,2648931
1127,3873666
1128,9178162
1129,2732182
1130,1621788
1131,9122402
1132,2134150
1133,8363277
1134,9510383
1135,3785769
1136,9184241
1137,9517155
1138,4506193
1139,2654365
1140,6582087
1141,3534674
1142,6002190
1143,7866830
1144,6570082
1145,2606210
1146,1477556
1147,3489719
1148,2234731
1149,9764607
1150,2292542
1151,2411043
1152,3914564
1153,6409693
1154,8273781
1155,7353933
1156,9230439
1157,2562885
1158,4163426
1159,3889708
1160,7325666
1161,5877782
1162,8354907
1163,2275228
1164,7951204
1165,7334312
1166,9904708
1167,4263944
1168,9036653
1169,8223939
1170,1046654
1171,6826691
1172,3565213
1173,3372496
1174,1292006
1175,7309523
1176,4232276
1177,1030806
1178,2823933
1179,5091989
1180,9548785
1181,3848594
1182,7292457
1183,3998015
1184,9461109
1185,2229137
1186,2822578
1187,3078245
1188,9480135
1189,6773100
1190,1572842
1191,8061765
1192,4187817
1193,8060229
1194,5136568
1195,8348725
1196,7515346
1197,5404404
1198,3219791
1199,5219550
1200,5346652
1201,2403235
1202,2739844
1203,7264364
1204,6518105
1205,3667112
1206,5569050
1207,1708721
1208,1247924
1209,8455070
1210,1763556
1211,3813900
1212,9605445
1213,5827917
1214,4685434
1215,4737618
1216,9683256
1217,6553243
1218,7982256
1219,1500429
1220,7371907
1221,5180392
1222,3045570
1223,1773994
1224,5677229
1225,4105647
1226,7268150
1227,5779037
1228,3156131
1229,6106317
1230,3183134
1231,9943358
1232,4391651
1233,6300251
1234,6157790
1235,5305396
1236,7969984
1237,7127948
1238,9006064
1239,4653864
1240,5816564
1241,8675949
1242,2588976
1243,5255039
1244,1476551
1245,7984673
1246,4063572
1247,2034070
1248,9621665
1249,6599323
1250,2400451
1251,1699827
1252,8384227
1253,1911326
1254,3509690
1255,3627155
1256,1025359
1257,8901964
1258,2164135
1259,4555279
1260,3568299
1261,1038234
1262,8137074
1263,4687231
1264,5638988
1265,1066464
1266,6778451
1267,8546328
1268,3440088
1269,5643145
1270,9041910
1271,1001801
1272,8889161
1273,2222597
1274,9034569
1275,6886668
1276,2945268
1277,7955893
1278,4915066
1279,8830631
1280,3411797
1281,8996796
1282,8572998
1283,4959111
1284,5643492
1285,5137528
1286,5359750
1287,9369668
1288,9190363
1289,5897992
1290,3023246
1291,6777692
1292,6266720
1293,3977796
1294,5165802
1295,3406785
1296,2474862
1297,2103220
1298,6078145
1299,9973360
1300,1823232
1301,5906201
1302,3867336
1303,7772718
1304,4157050
1305,3593216
1306,7866508
1307,6614310
1308,6321299
1309,5406032
1310,7591535
1311,9925795
1312,9156326
1313,2814042
1314,3489061
1315,3012783
1316,5214189
1317,4208119
1318,4255211
1319,8767545
1320,4179792
1321,6391848
1322,9407740
1323,3606732
1324,8482948
1325,2951176
1326,2821211
1327,1094459
1328,5833580
1329,7742516
1330,6733623
1331,3355439
1332,5540466
1333,5274912
1334,5362926
1335,5965524
1336,2806295
1337,5633163
1338,3527637
1339,2544346
1340,2775857
1341,5342945
1342,3707808
1343,4050414
1344,3160291
1345,8515194
1346,2709011
1347,6341392
1348,9837777
1349,5032696
1350,6776505
1351,8924441
1352,5962494
1353,2662269
1354,5962937
1355,3086860
1356,1749615
1357,2687031
1358,5565011
1359,9941027
1360,1911587
1361,4911484
1362,7553154
1363,8118455
1364,6973580
1365,9943808
1366,5975034
1367,7957539
1368,5133708
1369,7919202
1370,5897208
1371,2331409
1372,8210474
1373,9126145
1374,6189722
1375,6782239
1376,2381149
1377,9570999
1378,8092387
1379,2139755
1380,9810386
1381,1867179
1382,1801151
1383,8976539
1384,7755429
1385,5836620
1386,3560773
1387,9776217
1388,7630373
1389,9049926
1390,7489378
1391,9802905
1392,1517356
1393,6595858
1394,1361946
1395,3607028
1396,9484187
1397,2377345
1398,1083599
1399,9522034
1400,3979371
1401,4958383
1402,4202738
1403,3804828
1404,5232353
1405,2330308
1406,6553413
1407,5618478
1408,9752892
1409,3293364
1410,8098542
1411,1451108
1412,3097876
1413,6848558
1414,5385550
1415,5156942
1416,6482922
1417,4981088
1418,9712933
1419,1994786
1420,6424281
1421,2767489
1422,9908103
1423,2816098
1424,1327137
1425,7863875
1426,2829766
1427,6694049
1428,6438955
1429,8152006
1430,7277537
1431,3748285
1432,8712771
1433,6250482
1434,5521205
1435,5446769
1436,6808331
1437,7049354
1438,8035871
1439,2186501
1440,4074218
1441,7034926
1442,6528850
1443,2124104
1444,5367533
1445,5022030
1446,2669213
1447,6120034
1448,5692686
1449,9014746
1450,4388367
1451,3389712
1452,8789643
1453,7690438
1454,8382055
1455,4109387
1456,2943952
1457,2720717
1458,1768594
1459,1655648
1460,3898757
1461,5143281
1462,1068027
1463,7457379
1464,3497499
1465,2019163
1466,6415592
1467,4350707
1468,4762888
1469,8566699
1470,8043180
1471,3028132
1472,8935264
1473,4046976
1474,7957128
1475,7070683
1476,7125240
1477,8908439
1478,5622889
1479,6602666
1480,2244336
1481,2184809
1482,3857058
1483,4627784
1484,1067828
1485,7194206
1486,4327814
1487,5125963
1488,4197714
1489,9575498
1490,8198457
1491,2860070
1492,1340869
1493,7758772
